date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,otm_ce_entry,otm_pe_entry,otm_ce_exit,otm_pe_exit,otm_pnl,num_sl_events,scaled_lots,iv_at_entry
2022-10-03,2022-10-03T09:17:00+05:30,2022-10-03T15:15:00+05:30,358.0,133.55,165.1,128.35,134.5,298.65,4475.0,162.69,4312.31,Time Exit (15:15),2,21.4,17033.6992,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,22.670282418363065
2022-10-07,2022-10-07T09:17:00+05:30,2022-10-07T15:15:00+05:30,358.0,137.1,168.05,149.55,134.95,305.15,2581.25,165.49,2415.76,Time Exit (15:15),4,19.63,17277.4004,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,16.058333613463585
2022-10-11,2022-10-11T09:17:00+05:30,2022-10-11T15:15:00+05:30,358.0,122.1,116.4,102.0,119.55,238.5,2118.75,149.89,1968.86,Time Exit (15:15),2,19.94,17212.4004,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,18.179823713340433
2022-10-12,2022-10-12T09:17:00+05:30,2022-10-12T15:15:00+05:30,358.0,106.65,99.15,95.6,79.05,205.8,3893.75,140.94,3752.81,Time Exit (15:15),1,20.77,17016.0,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,22.490445022356827
2022-10-13,2022-10-13T09:17:00+05:30,2022-10-13T11:46:00+05:30,149.0,55.55,61.45,31.6,57.3,117.0,3512.5,119.99,3392.51,Spot Move Exit (123pts > 117pts),0,20.46,17102.1992,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,21.25534697295496
2022-10-17,2022-10-17T09:17:00+05:30,2022-10-17T15:15:00+05:30,358.0,150.2,114.8,115.4,130.5,265.0,2387.5,156.04,2231.46,Time Exit (15:15),3,18.97,17195.25,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,19.495831810389273
2022-10-20,2022-10-20T09:17:00+05:30,2022-10-20T14:35:00+05:30,318.0,28.85,60.55,7.05,24.6,89.4,7218.75,110.98,7107.77,Winner Booking (21.0%),0,17.38,17433.6504,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,13.886732211570923
2022-12-15,2022-12-15T09:17:00+05:30,2022-12-15T10:13:00+05:30,56.0,31.950000000000003,40.55,42.6,24.65,72.5,525.0,107.9,417.1,Spot Move Exit (76pts > 72pts),0,12.79,18642.1992,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,12.689490815778992
2022-12-22,2022-12-22T09:17:00+05:30,2022-12-22T10:19:00+05:30,62.0,67.9,42.95,70.35,46.75,110.85000000000001,-781.25,121.35,-902.6,Spot Move Exit (113pts > 111pts),0,15.24,18269.1504,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,21.109054215702955
2023-01-02,2023-01-02T09:17:00+05:30,2023-01-02T15:15:00+05:30,358.0,101.05,108.0,100.4,86.2,209.05,2806.25,142.42,2663.83,Time Exit (15:15),3,15.26,18133.25,False,1,25,5,125,250000,0.0,0.0,0.0,0.0,0.0,2,1,12.972501026699494
