base_sl_pct,dynamic_sl,trail_trigger_pct,trail_lock_pct,total_pnl,num_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe,dte_pnl,exit_reasons
25.0,True,50.0,15.0,40990.27,127,61.4,1511.13,-1568.94,1.53,-12255.95,1.86,"{0: 18595.52, 3: 9568.609999999999, 4: 12826.14}","{'hard_exit': 60, 'both_sl_hit': 57, 'profit_target': 6, 'loss_limit': 3, 'combined_decay': 1}"
30.0,True,60.0,15.0,40281.77,127,66.9,1272.6,-1616.41,1.59,-10588.95,1.91,"{0: 21011.379999999997, 3: 6761.65, 4: 12508.74}","{'both_sl_hit': 62, 'hard_exit': 56, 'profit_target': 5, 'loss_limit': 4}"
25.0,True,40.0,20.0,39538.81,127,59.1,1604.97,-1554.5,1.49,-13657.35,1.76,"{0: 24428.61, 3: 3201.21, 4: 11908.99}","{'hard_exit': 63, 'both_sl_hit': 54, 'profit_target': 6, 'loss_limit': 3, 'combined_decay': 1}"
25.0,True,50.0,20.0,38314.21,127,61.4,1476.82,-1568.94,1.5,-12768.15,1.75,"{0: 17224.66, 3: 8546.81, 4: 12542.74}","{'hard_exit': 60, 'both_sl_hit': 58, 'profit_target': 5, 'loss_limit': 3, 'combined_decay': 1}"
20.0,True,0.0,20.0,36708.79,127,55.1,1764.36,-1522.74,1.42,-12724.11,1.6,"{0: 21207.68, 3: 3592.119999999999, 4: 11908.99}","{'hard_exit': 64, 'both_sl_hit': 36, 'winner_booking': 17, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
20.0,True,0.0,10.0,36708.79,127,55.1,1764.36,-1522.74,1.42,-12724.11,1.6,"{0: 21207.68, 3: 3592.119999999999, 4: 11908.99}","{'hard_exit': 64, 'both_sl_hit': 36, 'winner_booking': 17, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
20.0,True,0.0,15.0,36708.79,127,55.1,1764.36,-1522.74,1.42,-12724.11,1.6,"{0: 21207.68, 3: 3592.119999999999, 4: 11908.99}","{'hard_exit': 64, 'both_sl_hit': 36, 'winner_booking': 17, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
25.0,True,60.0,15.0,35996.14,127,66.9,1246.83,-1666.3,1.51,-9655.22,1.73,"{0: 16725.75, 3: 6761.65, 4: 12508.74}","{'both_sl_hit': 65, 'hard_exit': 54, 'profit_target': 5, 'loss_limit': 3}"
30.0,True,60.0,20.0,34640.41,127,66.9,1207.6,-1619.18,1.51,-10773.55,1.66,"{0: 17787.37, 3: 5041.749999999999, 4: 11811.289999999999}","{'both_sl_hit': 62, 'hard_exit': 56, 'profit_target': 5, 'loss_limit': 4}"
15.0,True,0.0,15.0,33906.53,127,52.8,1746.44,-1385.08,1.41,-15453.92,1.55,"{0: 18405.42, 3: 3592.119999999999, 4: 11908.99}","{'hard_exit': 64, 'both_sl_hit': 41, 'winner_booking': 15, 'profit_target': 4, 'loss_limit': 2, 'combined_decay': 1}"
