base_sl_pct,dynamic_sl,trail_trigger_pct,trail_lock_pct,total_pnl,num_trades,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe,dte_pnl,exit_reasons
15.0,True,0.0,20.0,33906.53,127,52.8,1746.44,-1385.08,1.41,-15453.92,1.55,"{0: 18405.42, 3: 3592.119999999999, 4: 11908.99}","{'hard_exit': 64, 'both_sl_hit': 41, 'winner_booking': 15, 'profit_target': 4, 'loss_limit': 2, 'combined_decay': 1}"
15.0,True,0.0,10.0,33906.53,127,52.8,1746.44,-1385.08,1.41,-15453.92,1.55,"{0: 18405.42, 3: 3592.119999999999, 4: 11908.99}","{'hard_exit': 64, 'both_sl_hit': 41, 'winner_booking': 15, 'profit_target': 4, 'loss_limit': 2, 'combined_decay': 1}"
20.0,True,50.0,10.0,33110.79,127,58.3,1550.68,-1540.36,1.41,-9268.43,1.51,"{0: 9676.679999999998, 3: 10324.56, 4: 13109.55}","{'hard_exit': 61, 'both_sl_hit': 56, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
20.0,True,60.0,10.0,33025.67,127,63.8,1341.17,-1643.68,1.44,-8537.54,1.58,"{0: 11144.22, 3: 8477.0, 4: 13404.449999999999}","{'both_sl_hit': 66, 'hard_exit': 53, 'loss_limit': 4, 'profit_target': 4}"
15.0,True,50.0,10.0,31349.82,127,55.9,1539.4,-1391.92,1.4,-11803.76,1.52,"{0: 7915.709999999999, 3: 10324.56, 4: 13109.55}","{'hard_exit': 61, 'both_sl_hit': 60, 'profit_target': 3, 'loss_limit': 2, 'combined_decay': 1}"
20.0,True,50.0,15.0,30961.88,127,58.3,1521.64,-1540.36,1.38,-9778.68,1.42,"{0: 8567.129999999997, 3: 9568.609999999999, 4: 12826.14}","{'hard_exit': 61, 'both_sl_hit': 56, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
25.0,True,60.0,20.0,30471.13,127,66.9,1181.83,-1666.3,1.44,-9839.82,1.47,"{0: 13618.09, 3: 5041.749999999999, 4: 11811.289999999999}","{'both_sl_hit': 65, 'hard_exit': 54, 'profit_target': 5, 'loss_limit': 3}"
15.0,True,60.0,10.0,30121.84,127,61.4,1319.27,-1485.33,1.41,-9649.68,1.55,"{0: 8240.390000000001, 3: 8477.0, 4: 13404.449999999999}","{'both_sl_hit': 71, 'hard_exit': 52, 'profit_target': 2, 'loss_limit': 2}"
20.0,True,40.0,10.0,29796.43,127,55.9,1625.23,-1528.49,1.35,-11522.91,1.33,"{0: 14046.63, 3: 3840.8099999999986, 4: 11908.99}","{'hard_exit': 64, 'both_sl_hit': 53, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
15.0,True,50.0,15.0,29215.2,127,55.9,1509.34,-1391.92,1.37,-12314.01,1.43,"{0: 6820.449999999999, 3: 9568.609999999999, 4: 12826.14}","{'hard_exit': 61, 'both_sl_hit': 60, 'profit_target': 3, 'loss_limit': 2, 'combined_decay': 1}"
20.0,True,40.0,15.0,28798.68,127,55.9,1611.18,-1528.49,1.34,-11522.91,1.29,"{0: 13193.18, 3: 3696.5099999999993, 4: 11908.99}","{'hard_exit': 64, 'both_sl_hit': 53, 'profit_target': 5, 'loss_limit': 4, 'combined_decay': 1}"
20.0,True,50.0,20.0,28665.43,127,58.3,1490.6,-1540.36,1.35,-10290.88,1.32,"{0: 7575.879999999999, 3: 8546.81, 4: 12542.74}","{'hard_exit': 61, 'both_sl_hit': 57, 'loss_limit': 4, 'profit_target': 4, 'combined_decay': 1}"
