Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Highest MTM(Candle Close),Lowest MTM(Candle Close),Remarks
842.2,2023-05-30,Tuesday,09:17:00,73.3,65,PE,18600.0,Sell,2023-05-30,Tuesday,15:15:00,40.8,2112.5,44.33833560709414,2023-06-01,,,Exit Condition Met For Trade
843,2023-05-31,,09:17:00,18587.3,,,,,2023-05-31,,15:15:00,18525.9,880.75,,,1098.5,-546.0,Exit Condition Met For Trade
843.1,2023-05-31,Wednesday,09:17:00,48.05,65,CE,18600.0,Sell,2023-05-31,Wednesday,15:15:00,22.35,1670.4999999999998,53.48595213319458,2023-06-01,,,Exit Condition Met For Trade
843.2,2023-05-31,Wednesday,09:17:00,60.7,65,PE,18600.0,Sell,2023-05-31,Wednesday,09:21:00,72.85,-789.7499999999994,-20.016474464579886,2023-06-01,,,Stop Loss Hit
844,2023-06-01,,09:17:00,18550.55,,,,,2023-06-01,,09:43:00,18565.15,-1020.5,,,386.75,-1020.5,
844.1,2023-06-01,Thursday,09:17:00,37.95,65,CE,18550.0,Sell,2023-06-01,Thursday,09:43:00,45.55,-493.99999999999966,-20.026350461133053,2023-06-01,,,Stop Loss Hit
844.2,2023-06-01,Thursday,09:17:00,40.55,65,PE,18550.0,Sell,2023-06-01,Thursday,09:27:00,48.65,-526.5000000000001,-19.975339087546242,2023-06-01,,,Stop Loss Hit
845,2023-06-02,,09:17:00,18558.25,,,,,2023-06-02,,15:15:00,18537.25,133.25,,,1430.0,-1430.0,Exit Condition Met For Trade
845.1,2023-06-02,Friday,09:17:00,113.35,65,CE,18550.0,Sell,2023-06-02,Friday,15:15:00,95.0,1192.7499999999995,16.188795765328624,2023-06-08,,,Exit Condition Met For Trade
845.2,2023-06-02,Friday,09:17:00,81.6,65,PE,18550.0,Sell,2023-06-02,Friday,09:53:00,97.9,-1059.5000000000007,-19.975490196078447,2023-06-08,,,Stop Loss Hit
846,2023-06-05,,09:17:00,18628.9,,,,,2023-06-05,,15:15:00,18593.25,211.25,,,419.25,-1157.0,Exit Condition Met For Trade
846.1,2023-06-05,Monday,09:17:00,72.0,65,CE,18650.0,Sell,2023-06-05,Monday,15:15:00,53.55,1199.2500000000002,25.625000000000004,2023-06-08,,,Exit Condition Met For Trade
846.2,2023-06-05,Monday,09:17:00,76.0,65,PE,18650.0,Sell,2023-06-05,Monday,09:34:00,91.2,-988.0000000000002,-20.000000000000004,2023-06-08,,,Stop Loss Hit
847,2023-06-06,,09:17:00,18591.0,,,,,2023-06-06,,15:15:00,18608.6,-357.5,,,1127.75,-357.5,Exit Condition Met For Trade
847.1,2023-06-06,Tuesday,09:17:00,67.75,65,CE,18600.0,Sell,2023-06-06,Tuesday,15:15:00,60.95,441.99999999999983,10.036900369003687,2023-06-08,,,Exit Condition Met For Trade
847.2,2023-06-06,Tuesday,09:17:00,61.5,65,PE,18600.0,Sell,2023-06-06,Tuesday,10:29:00,73.8,-799.4999999999998,-19.999999999999996,2023-06-08,,,Stop Loss Hit
848,2023-06-07,,09:17:00,18665.5,,,,,2023-06-07,,15:15:00,18726.95,858.0,,,871.0,-139.75,Exit Condition Met For Trade
848.1,2023-06-07,Wednesday,09:17:00,53.55,65,CE,18650.0,Sell,2023-06-07,Wednesday,12:48:00,64.7,-724.7500000000003,-20.821661998132598,2023-06-08,,,Stop Loss Hit
848.2,2023-06-07,Wednesday,09:17:00,41.6,65,PE,18650.0,Sell,2023-06-07,Wednesday,15:15:00,17.25,1582.75,58.53365384615385,2023-06-08,,,Exit Condition Met For Trade
849,2023-06-08,,09:17:00,18738.35,,,,,2023-06-08,,11:50:00,18722.65,-890.5,,,1306.5,-890.5,
849.1,2023-06-08,Thursday,09:17:00,27.65,65,CE,18750.0,Sell,2023-06-08,Thursday,09:30:00,33.2,-360.7500000000003,-20.072332730560596,2023-06-08,,,Stop Loss Hit
849.2,2023-06-08,Thursday,09:17:00,40.65,65,PE,18750.0,Sell,2023-06-08,Thursday,11:50:00,48.8,-529.7499999999999,-20.049200492004918,2023-06-08,,,Stop Loss Hit
850,2023-06-09,,09:17:00,18662.0,,,,,2023-06-09,,15:15:00,18564.35,2255.5,,,2499.25,-835.25,Exit Condition Met For Trade
850.1,2023-06-09,Friday,09:17:00,107.4,65,CE,18650.0,Sell,2023-06-09,Friday,15:15:00,57.55,3240.2500000000005,46.41527001862198,2023-06-15,,,Exit Condition Met For Trade
850.2,2023-06-09,Friday,09:17:00,75.85,65,PE,18650.0,Sell,2023-06-09,Friday,09:36:00,91.0,-984.7500000000003,-19.97363216875413,2023-06-15,,,Stop Loss Hit
851,2023-06-12,,09:17:00,18600.7,,,,,2023-06-12,,12:01:00,18619.9,-2067.0,,,87.75,-2067.0,
851.1,2023-06-12,Monday,09:17:00,85.75,65,CE,18600.0,Sell,2023-06-12,Monday,12:01:00,102.9,-1114.7500000000005,-20.000000000000004,2023-06-15,,,Stop Loss Hit
851.2,2023-06-12,Monday,09:17:00,73.3,65,PE,18600.0,Sell,2023-06-12,Monday,09:23:00,87.95,-952.2500000000003,-19.986357435197824,2023-06-15,,,Stop Loss Hit
852,2023-06-13,,09:17:00,18674.65,,,,,2023-06-13,,15:15:00,18719.35,29.25,,,308.75,-604.5,Exit Condition Met For Trade
852.1,2023-06-13,Tuesday,09:17:00,88.8,65,CE,18650.0,Sell,2023-06-13,Tuesday,11:29:00,106.55,-1153.75,-19.98873873873874,2023-06-15,,,Stop Loss Hit
852.2,2023-06-13,Tuesday,09:17:00,45.7,65,PE,18650.0,Sell,2023-06-13,Tuesday,15:15:00,27.5,1183.0000000000002,39.82494529540482,2023-06-15,,,Exit Condition Met For Trade
